payload_offset,section,origin_zero_word,full_word,delta_or_kind,classification
0933,monitor,0A0B,8643,7C38,normal
0936,monitor,09E8,8620,7C38,normal
093A,monitor,0C33,886B,7C38,normal
093E,monitor,11DB,8E13,7C38,normal
0941,monitor,0914,854C,7C38,normal
0944,monitor,0B22,875A,7C38,normal
094A,monitor,0AF4,872C,7C38,normal
094E,monitor,12A6,8EDE,7C38,normal
0951,monitor,0BD2,880A,7C38,normal
0956,monitor,0A4B,8683,7C38,normal
0959,monitor,0E18,8A50,7C38,normal
095D,monitor,0A53,868B,7C38,normal
0960,monitor,0E18,8A50,7C38,normal
0963,monitor,0A4A,8682,7C38,normal
0966,monitor,0A08,8640,7C38,normal
0969,monitor,0C93,88CB,7C38,normal
096C,monitor,09E8,8620,7C38,normal
0970,monitor,0990,85C8,7C38,normal
0973,monitor,09E5,861D,7C38,normal
0976,monitor,09A2,85DA,7C38,normal
097F,monitor,0173,7DAB,7C38,normal
0982,monitor,0B33,876B,7C38,normal
0986,monitor,0E60,8A98,7C38,normal
098B,monitor,0906,853E,7C38,normal
0990,monitor,0A4A,8682,7C38,normal
0994,monitor,027B,7EB3,7C38,normal
0997,monitor,11F3,8E2B,7C38,normal
099B,monitor,11F3,8E2B,7C38,normal
09A5,monitor,0561,8199,7C38,normal
09A9,monitor,0A21,8659,7C38,normal
09AC,monitor,11DB,8E13,7C38,normal
09C5,monitor,11F1,8E29,7C38,normal
09C8,monitor,2D61,A999,7C38,normal
09CC,monitor,11F1,8E29,7C38,normal
09CF,monitor,2D61,A999,7C38,normal
09DD,monitor,11F1,8E29,7C38,normal
09EF,monitor,11F1,8E29,7C38,normal
09F2,monitor,2D61,A999,7C38,normal
0A00,monitor,11F1,8E29,7C38,normal
0A26,monitor,0561,8199,7C38,normal
0A29,monitor,2D5D,A995,7C38,normal
0A34,monitor,10A6,8CDE,7C38,normal
0A38,monitor,11F1,8E29,7C38,normal
0A3C,monitor,0A0B,8643,7C38,normal
0A43,monitor,11F1,8E29,7C38,normal
0A48,monitor,11F1,8E29,7C38,normal
0A54,monitor,2D63,A99B,7C38,normal
0A5A,monitor,0A0B,8643,7C38,normal
0A6E,monitor,2D63,A99B,7C38,normal
0A72,monitor,0A85,86BD,7C38,normal
0A75,monitor,018D,7DC5,7C38,normal
0A8C,monitor,0A08,8640,7C38,normal
0A90,monitor,0A37,866F,7C38,normal
0A93,monitor,2D63,A99B,7C38,normal
0A96,monitor,2D68,A9A0,7C38,normal
0A9A,monitor,2D63,A99B,7C38,normal
0A9E,monitor,11F1,8E29,7C38,normal
0AA4,monitor,2D62,A99A,7C38,normal
0AB1,monitor,0B0E,8746,7C38,normal
