payload_offset,section,origin_zero_word,full_word,delta_or_kind,classification
2AD4,assembler,2D06,A93E,7C38,normal
2ADA,assembler,2B2C,A764,7C38,normal
2ADD,assembler,2A17,A64F,7C38,normal
2AE0,assembler,2BBD,A7F5,7C38,normal
2AE8,assembler,2A37,A66F,7C38,normal
2AF1,assembler,2A37,A66F,7C38,normal
2AF7,assembler,2A17,A64F,7C38,normal
2AFD,assembler,181B,9453,7C38,normal
2B08,assembler,2BC0,A7F8,7C38,normal
2B1A,assembler,2A17,A64F,7C38,normal
2B23,assembler,2A5A,A692,7C38,normal
2B46,assembler,2D07,A93F,7C38,normal
2B57,assembler,2B81,A7B9,7C38,normal
2B5C,assembler,2B81,A7B9,7C38,normal
2B62,assembler,2B81,A7B9,7C38,normal
2B6A,assembler,2B81,A7B9,7C38,normal
2B70,assembler,2B81,A7B9,7C38,normal
2B76,assembler,2B81,A7B9,7C38,normal
2B7B,assembler,2B81,A7B9,7C38,normal
2B9B,assembler,2BA3,A7DB,7C38,normal
2BAF,assembler,3E7E,BAB6,7C38,normal
2BCC,assembler,2C1F,A857,7C38,normal
2BD0,assembler,2488,A0C0,7C38,normal
2BE4,assembler,2A5A,A692,7C38,normal
2BEF,assembler,2B2C,A764,7C38,normal
2BFD,assembler,2328,9F60,7C38,normal
2C00,assembler,2C1A,A852,7C38,normal
2C03,assembler,232B,9F63,7C38,normal
2C06,assembler,2C1A,A852,7C38,normal
2C09,assembler,2A5A,A692,7C38,normal
2C0C,assembler,2C11,A849,7C38,normal
2C0F,assembler,2A17,A64F,7C38,normal
2C2A,assembler,205F,9C97,7C38,normal
2C2D,assembler,18F6,952E,7C38,normal
2C30,assembler,1A11,9649,7C38,normal
2C35,assembler,22F4,9F2C,7C38,normal
2C3A,assembler,29C8,A600,7C38,normal
2C3D,assembler,205F,9C97,7C38,normal
2C47,assembler,2984,A5BC,7C38,normal
2C4A,assembler,2A5A,A692,7C38,normal
2C4D,assembler,2C52,A88A,7C38,normal
2C50,assembler,1B86,97BE,7C38,normal
2C53,assembler,297D,A5B5,7C38,normal
2C56,assembler,2B42,A77A,7C38,normal
2C59,assembler,2D07,A93F,7C38,normal
2C5F,assembler,2981,A5B9,7C38,normal
2C67,assembler,3E68,BAA0,7C38,normal
2C77,assembler,2A17,A64F,7C38,normal
2C80,assembler,2327,9F5F,7C38,normal
2C86,assembler,24AD,A0E5,7C38,normal
2C97,assembler,2488,A0C0,7C38,normal
2C9F,assembler,2BAF,A7E7,7C38,normal
2CB1,assembler,22A8,9EE0,7C38,normal
2CB7,assembler,2A5A,A692,7C38,normal
2CC4,assembler,2B2C,A764,7C38,normal
2CC8,assembler,2A5A,A692,7C38,normal
2CCB,assembler,2BC0,A7F8,7C38,normal
2CCE,assembler,2A17,A64F,7C38,normal
2CD1,assembler,2BC0,A7F8,7C38,normal
2CD4,assembler,2328,9F60,7C38,normal
2CD7,assembler,2BA9,A7E1,7C38,normal
2CDA,assembler,232B,9F63,7C38,normal
2CDD,assembler,2BA9,A7E1,7C38,normal
